Fwd_IAT_Max,Bwd_IAT_Max,PSH_Flag_Cnt,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Active_Max,Idle_Max,Label,Cat
0,0,0,1921,982,1430,1,982,1,1430,0,75,Anomaly,Mirai
0,5310,0,0,0,0,1,0,2,0,0,4254,Anomaly,DoS
0,71,0,1398,0,935.3333333,0,0,3,2806,0,71,Anomaly,Scan
0,151,0,2082,0,1388,0,0,2,2776,0,151,Anomaly,Mirai
76,0,0,575.3333333,443,420,2,886,1,420,0,77,Anomaly,Mirai
74,0,0,0,0,0,2,0,1,0,0,83,Anomaly,Mirai
10,0,0,33.52380952,32,32,20,640,1,32,0,10,Anomaly,Mirai
0,112,0,2172,0,1448,0,0,2,2896,0,112,Anomaly,Scan
0,0,0,48,32,32,1,32,1,32,0,86,Anomaly,Mirai
0,6799,0,0,0,0,0,0,2,0,0,6799,Anomaly,DoS
40,23,0,1107.2,0,1358.666667,2,0,3,4076,0,20,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,165,Anomaly,Mirai
76,0,0,1866.666667,1400,1400,2,2800,1,1400,0,123,Anomaly,Mirai
71,0,0,1787.5,1430,1430,3,4290,1,1430,0,71,Anomaly,Mirai
7,0,0,34.90909091,32,32,10,320,1,32,1,7,Anomaly,Mirai
46693,47389,1,656.1666667,1136,156.7142857,5,5680,7,1097,898,43394,Anomaly,DoS
0,74,0,41.6,0,33.6,0,0,5,168,0,74,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,120,Normal,Normal
0,154,0,56,0,36,0,0,2,72,0,154,Anomaly,Mirai
265,0,0,42.66666667,32,32,2,64,1,32,0,265,Anomaly,Mirai
113,0,0,1787.5,1430,1430,3,4290,1,1430,0,113,Anomaly,Mirai
0,0,0,1636,376,1448,1,376,1,1448,0,74,Anomaly,Mirai
0,123,0,0,0,0,0,0,2,0,0,123,Anomaly,Scan
0,0,0,1451,42,1430,1,42,1,1430,0,199,Anomaly,Mirai
0,143,0,2136,0,1424,0,0,2,2848,0,143,Anomaly,Mirai
73,0,0,1906.666667,1430,1430,2,2860,1,1430,0,121,Anomaly,Mirai
0,77,0,44,0,34,0,0,4,136,0,77,Anomaly,Mirai
128,0,0,1755.5,1387.333333,1430,3,4162,1,1430,0,128,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,124,Anomaly,Scan
0,77,0,1930.666667,0,1448,0,0,3,4344,0,77,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,73,Anomaly,Scan
73,0,0,1636,1024,1430,2,2048,1,1430,0,125,Anomaly,Mirai
156,0,0,1920,1440,1440,2,2880,1,1440,0,156,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,149,Anomaly,Mirai
0,235,0,2172,0,1448,0,0,2,2896,0,235,Anomaly,Mirai
0,0,0,30,20,20,1,20,1,20,0,154,Anomaly,Mirai
71,0,0,1716,1430,1430,4,5720,1,1430,0,74,Anomaly,Mirai
0,0,0,2172,1448,1448,1,1448,1,1448,0,117,Anomaly,Mirai
488,4125,0,0,0,0,5,0,2,0,1803,2322,Anomaly,DoS
111,0,0,1748.5,1378,1430,3,4134,1,1430,0,120,Anomaly,Mirai
0,0,0,262.5,175,175,1,175,1,175,0,161,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,112,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,118,Anomaly,Mirai
0,131,0,2082,0,1388,0,0,2,2776,0,131,Anomaly,Scan
0,124,0,1403,0,709,0,0,2,1418,0,124,Anomaly,Scan
0,0,0,0,0,0,1,0,1,0,0,125,Anomaly,Scan
74,0,0,0,0,0,2,0,1,0,0,86,Anomaly,Scan
0,73,0,0,0,0,0,0,2,0,0,73,Normal,Normal
0,367,0,1388,0,694,0,0,2,1388,0,367,Normal,Normal
0,0,0,2100,1400,1400,1,1400,1,1400,0,147,Anomaly,Mirai
0,366,0,1850.666667,0,1388,0,0,3,4164,0,366,Normal,Normal
0,89,0,1403,0,709,0,0,2,1418,0,89,Anomaly,MITM ARP Spoofing
0,0,0,48,32,32,1,32,1,32,0,13,Anomaly,Mirai
0,0,0,2172,1448,1448,1,1448,1,1448,0,80,Anomaly,Mirai
0,0,0,1713,1430,998,1,1430,1,998,0,233,Anomaly,Mirai
73,0,0,1906.666667,1430,1430,2,2860,1,1430,0,117,Anomaly,Mirai
0,85,0,0,0,0,0,0,3,0,0,85,Anomaly,Scan
0,72,0,42.66666667,0,32,0,0,3,96,0,72,Anomaly,Mirai
0,0,0,27,18,18,1,18,1,18,0,82,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,152,Anomaly,Mirai
0,75,0,1850.666667,0,1388,0,0,3,4164,0,75,Anomaly,Scan
0,115,0,2172,0,1448,0,0,2,2896,0,115,Anomaly,MITM ARP Spoofing
10,0,0,37.33333333,32,32,5,160,1,32,0,10,Anomaly,Mirai
12,0,0,33.77777778,32,32,17,544,1,32,0,12,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,80,Anomaly,Scan
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,118,Anomaly,Mirai
0,128,0,56,0,36,0,0,2,72,0,128,Anomaly,Mirai
0,13406,0,0,0,0,0,0,2,0,0,13406,Anomaly,DoS
0,0,0,2100,1400,1400,1,1400,1,1400,0,116,Anomaly,Mirai
1,0,0,33.33333333,32,32,23,736,1,32,0,2,Anomaly,Mirai
74,0,0,1906.666667,1430,1430,2,2860,1,1430,0,118,Anomaly,Mirai
0,86,0,2172,0,1448,0,0,2,2896,0,86,Anomaly,MITM ARP Spoofing
0,0,0,0,0,0,1,0,1,0,0,128,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,130,Anomaly,Mirai
